FragmentID,SMILES,Unnamed: 2,MW,logP,HBD,HBA,TPSA,RotBonds,Solubility_mg_per_mL
Z1162463429,CC1=CN(C(=O)NC1=O)C2CC(O)C(CO)O2,,242.231,-1.5142799999999992,3,6,104.55000000000001,2,1.2220639194937741
Z1341543331,NC=1N=CN=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,,267.245,-1.9800000000000006,4,9,139.54000000000002,2,1.330915823680541
Z1341535564,CCN1C=C(C#N)C(=O)N(CCCNC(=O)C2CCCC2)C1=O,,318.3770000000001,0.5980799999999995,1,6,96.88999999999999,6,2.274436866027877e-05
Z135417488,O=C(CN1C=CC(=O)NC1=O)NC2CCCCC2,,251.28599999999992,-0.01450000000000018,2,4,83.96000000000001,3,0.026276655860409778
Z2025567901,CC(=O)OCCOCN1C=NC=2C(=O)NC(N)=NC21,,267.245,-0.7609999999999995,2,8,125.12,5,0.001232254998674601
Z2752584332,"Cl.CN1C=C(C=N1)[C@H]2[C@H](C(=O)O)[C@H](O)C(=O)N2C |&1:7,8,12,r|",,275.692,-0.5833000000000002,2,5,95.66000000000001,2,0.2170964710590341
Z1431068613,NC=1N=CC=C(N1)N2CCCC2CO,,194.23799999999997,0.01989999999999964,2,5,75.27,2,0.270334577115632
Z107295666,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N3CCC(CC=4C=CC=CC4)CC3,,415.4650000000002,1.9394,0,6,73.53999999999999,5,6.911772634391285e-06
Z94559553,CC1=CC(C(=O)CN2C(=O)C(F)=CN(C2=O)C3CCCO3)=C(C)N1CC4=CC=CS4,,431.4890000000002,2.8691400000000016,0,8,75.22999999999999,6,2.6351159435585227e-07
Z104508106,O=C1NC(=O)N(C=C1F)C2CCCO2,,200.16899999999995,-0.015300000000000091,1,4,64.09,1,1.4840482445420353
Z56786759,CC1=CN(C(=O)NC1=O)C2OC(COC(=O)C=3C=CC=CC3)C(O)C2O,,362.338,-0.678780000000001,3,8,130.85000000000002,4,0.0022550162863493816
Z94557672,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)N(CCC=3C=CC=CC3)CC=4C=CC=CC4,,451.49800000000016,2.7296000000000005,0,6,73.53999999999999,8,8.599639203313206e-09
Z56777074,CC(=O)OCC1OC(C(OC(C)=O)C1OC(C)=O)N2C(=NC3=C(N)N=CN=C32)S(C)(=O)=O,,471.4480000000002,-0.8640999999999974,1,14,191.89,6,8.501571226199738e-06
Z666560160,CN1CCN(CC=2C=CC(=CC2)CN3C=C(C#N)C(=O)NC3=O)CC1,,339.3990000000001,0.20398000000000033,1,6,85.13,4,0.0011301845300478307
Z2760966296,O=C1CN(CN1CC2CC2)C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5,,386.4560000000003,0.6314999999999986,1,8,96.61000000000001,6,9.99005442911593e-06
Z56777083,NC=1N=CN=C2C1N=C(Br)N2C3CC(O)C(CO)O3,,330.14200000000005,-0.18830000000000024,3,8,119.31000000000002,2,0.0565704167170386
Z2587626535,Cl.O=C(O)C1CC(O)CN1C2=CC=NC=N2,,245.666,-0.07740000000000014,2,5,86.55,2,0.16168802439563326
Z3212792438,O=C1NC(=O)N(C=C1CC=2C=CC=CC2)COCCO,,276.29200000000003,0.0937999999999995,2,5,84.32000000000001,6,0.00010359622021856183
Z2510971309,CN1N=NN=C1N2C[C@H](O)C[C@H]2C(=O)O,,213.197,-1.765699999999999,2,7,104.37000000000002,2,2.0189738280664344
Z2472856664,Cl.Cl.OC1(CN2C=CN=N2)CCNC1,,241.12199999999999,-0.1539000000000001,2,5,62.97,2,0.26207007758213197
Z1521553474,NC1=NC(=O)N(C=C1F)[C@@H]2CS[C@H](CO)O2,,247.25099999999998,-0.45500000000000024,2,7,90.37,2,0.26098278229803956
Z756440078,NC=1N=C(F)N=C2C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,,285.235,-1.8409000000000002,4,9,139.54000000000002,2,0.897992718033936
Z1255420592,OC1(CCNC1)C2=CC=NN2,,153.18499999999997,-0.4094000000000004,3,3,60.94,1,5.568666904634965
Z3016341160,[Li+].CN1C=C(CN2CCC(O)C2)C(=N1)C([O-])=O,,231.181,-4.645799999999997,1,6,81.41999999999999,3,23.711768048211116
Z2489072449,Cl.O=C(O)C1CC(O)CN1C=2N=CN=C3N=CNC23,,285.691,-0.20110000000000022,3,6,115.22999999999999,2,0.09952343549308
Z1753047894,CCC1=NN=C(O1)[C@H]2C[C@@H](O)CN2,,183.21099999999998,0.02729999999999999,2,5,71.18,2,0.31243835688508415
